Robb Stone;Male;robb.stone@the-stormlands.com;VE;HN
Jon Pyke;Male;jon.pyke@the-westerlands.com;NE;SE
Myrcella Storm;Female;myrcella.storm@dorne.com;DK;MC
Cersei Rivers;Female;cersei.rivers@the-north.com;LC;CC
Bran Rivers;Male;bran.rivers@the-crownlands.com;WF;ZA
Myrcella Rivers;Female;myrcella.rivers@the-westerlands.com;AX;NC
Catelyn Waters;Female;catelyn.waters@the-riverlands.com;ET;VG
Robb Snow;Male;robb.snow@the-iron-islands.com;PW;SA
Sansa Pyke;Female;sansa.pyke@the-vale.com;RS;WS
Cersei Sand;Female;cersei.sand@the-riverlands.com;JE;NP
Jon Hill;Male;jon.hill@the-stormlands.com;PY;MM
Robb Stone;Male;robb.stone@the-reach.com;PY;HR
Jon Snow;Male;jon.snow@the-westerlands.com;BS;NF
Tyrion Hill;Male;tyrion.hill@the-iron-islands.com;UG;ME
Catelyn Snow;Female;catelyn.snow@the-vale.com;BN;PR
Cersei Stone;Female;cersei.stone@the-stormlands.com;AL;SJ
Eddard Stone;Male;eddard.stone@the-iron-islands.com;VA;EC
Tywin Hill;Male;tywin.hill@dorne.com;CM;AW
Jamie Pyke;Male;jamie.pyke@the-iron-islands.com;RW;AO
Robb Storm;Male;robb.storm@the-westerlands.com;FJ;AX
Catelyn Flowers;Female;catelyn.flowers@the-vale.com;TC;CN
Tywin Sand;Male;tywin.sand@the-westerlands.com;HU;AU
Jamie Stone;Male;jamie.stone@the-iron-islands.com;MA;QA
Myrcella Rivers;Female;myrcella.rivers@the-vale.com;SK;BG
Eddard Snow;Male;eddard.snow@the-iron-islands.com;CY;EH
Rickon Flowers;Male;rickon.flowers@the-stormlands.com;CY;CG
Catelyn Sand;Female;catelyn.sand@the-reach.com;CD;BD
Sansa Rivers;Female;sansa.rivers@the-vale.com;LY;AI
Robb Stone;Male;robb.stone@dorne.com;IN;AW
Joffrey Stone;Male;joffrey.stone@dorne.com;AM;CR
Jamie Stone;Male;jamie.stone@the-riverlands.com;MT;MR
Arya Storm;Female;arya.storm@the-riverlands.com;KZ;AM
Joffrey Flowers;Male;joffrey.flowers@the-stormlands.com;AN;DE
Catelyn Pyke;Female;catelyn.pyke@the-westerlands.com;XK;GY
Rickon Snow;Male;rickon.snow@the-riverlands.com;KY;SA
Joffrey Flowers;Male;joffrey.flowers@the-westerlands.com;HU;ML
Jamie Stone;Male;jamie.stone@the-north.com;RU;LU
Catelyn Sand;Female;catelyn.sand@the-crownlands.com;SA;NP
Joffrey Flowers;Male;joffrey.flowers@the-stormlands.com;PE;BR
Catelyn Snow;Female;catelyn.snow@the-north.com;TD;PH
Bran Snow;Male;bran.snow@the-iron-islands.com;AF;GS
Tyrion Waters;Male;tyrion.waters@dorne.com;LK;AD
Rickon Stone;Male;rickon.stone@dorne.com;CG;SK
Cersei Rivers;Female;cersei.rivers@the-iron-islands.com;CN;ME
Tyrion Snow;Male;tyrion.snow@dorne.com;AL;MK
Tommen Stone;Male;tommen.stone@the-riverlands.com;HT;BR
Eddard Flowers;Male;eddard.flowers@the-north.com;GW;VU
Sansa Hill;Female;sansa.hill@the-reach.com;TZ;TK
Robb Waters;Male;robb.waters@the-iron-islands.com;TL;TV
Cersei Storm;Female;cersei.storm@the-iron-islands.com;MW;KP
Tyrion Storm;Male;tyrion.storm@the-reach.com;AM;TJ
Joffrey Rivers;Male;joffrey.rivers@the-vale.com;AE;NA
Sansa Rivers;Female;sansa.rivers@the-iron-islands.com;BM;FJ
Myrcella Pyke;Female;myrcella.pyke@the-westerlands.com;MN;OM
Tywin Hill;Male;tywin.hill@the-iron-islands.com;CC;BV
Myrcella Sand;Female;myrcella.sand@the-iron-islands.com;LI;SO
Arya Rivers;Female;arya.rivers@the-stormlands.com;PF;TC
Bran Snow;Male;bran.snow@the-westerlands.com;BM;NA
Jon Hill;Male;jon.hill@the-stormlands.com;NL;VC
Jamie Storm;Male;jamie.storm@the-riverlands.com;BS;EE
Jamie Waters;Male;jamie.waters@the-riverlands.com;ZA;UY
Tyrion Flowers;Male;tyrion.flowers@the-westerlands.com;AU;ZA
Bran Hill;Male;bran.hill@the-riverlands.com;EC;PY
Tywin Hill;Male;tywin.hill@the-westerlands.com;GA;QA
Tyrion Sand;Male;tyrion.sand@the-stormlands.com;ME;KE
Tommen Storm;Male;tommen.storm@the-iron-islands.com;NL;CH
Cersei Storm;Female;cersei.storm@dorne.com;NE;MG
Bran Hill;Male;bran.hill@dorne.com;GF;AO
Tywin Storm;Male;tywin.storm@the-reach.com;MV;XK
Jon Flowers;Male;jon.flowers@the-crownlands.com;FM;UG
Robb Stone;Male;robb.stone@dorne.com;MO;MK
Tommen Rivers;Male;tommen.rivers@the-iron-islands.com;RU;LY
Bran Snow;Male;bran.snow@the-iron-islands.com;MH;GT
Myrcella Pyke;Female;myrcella.pyke@dorne.com;SY;EE
Robb Waters;Male;robb.waters@the-crownlands.com;BN;TD
Tyrion Sand;Male;tyrion.sand@dorne.com;SL;AL
Catelyn Pyke;Female;catelyn.pyke@the-westerlands.com;MK;MM
Arya Snow;Female;arya.snow@the-iron-islands.com;BG;KM
Myrcella Stone;Female;myrcella.stone@the-iron-islands.com;NG;PW
Tywin Rivers;Male;tywin.rivers@the-north.com;AE;TW
Tyrion Snow;Male;tyrion.snow@the-westerlands.com;KI;MC
Cersei Sand;Female;cersei.sand@the-westerlands.com;LB;SC
Eddard Flowers;Male;eddard.flowers@the-reach.com;SH;KM
Catelyn Flowers;Female;catelyn.flowers@the-riverlands.com;BT;TK
Robb Stone;Male;robb.stone@the-north.com;GQ;RS
Robb Pyke;Male;robb.pyke@the-reach.com;NE;CN
Sansa Hill;Female;sansa.hill@the-vale.com;IL;FK
Tommen Stone;Male;tommen.stone@the-north.com;PR;SO
Robb Stone;Male;robb.stone@the-crownlands.com;ZM;SR
Jamie Sand;Male;jamie.sand@the-north.com;KY;PE
Bran Pyke;Male;bran.pyke@the-crownlands.com;AQ;SG
Tyrion Waters;Male;tyrion.waters@the-riverlands.com;MN;VA
Sansa Waters;Female;sansa.waters@the-reach.com;UM;SM
Tyrion Flowers;Male;tyrion.flowers@the-riverlands.com;PG;BG
Tommen Flowers;Male;tommen.flowers@dorne.com;TK;ID
Sansa Flowers;Female;sansa.flowers@the-vale.com;PY;PH
Bran Waters;Male;bran.waters@the-vale.com;NE;KE
Tyrion Waters;Male;tyrion.waters@the-crownlands.com;XK;NR
Arya Sand;Female;arya.sand@dorne.com;AL;SM
Sansa Flowers;Female;sansa.flowers@the-reach.com;BF;KR
Tywin Waters;Male;tywin.waters@the-stormlands.com;EH;ET
Tyrion Snow;Male;tyrion.snow@the-crownlands.com;IT;CN
Robb Flowers;Male;robb.flowers@the-riverlands.com;TO;GF
Robb Rivers;Male;robb.rivers@the-vale.com;DZ;SK
Arya Flowers;Female;arya.flowers@the-stormlands.com;IT;IE
Catelyn Flowers;Female;catelyn.flowers@the-crownlands.com;YE;SA
Joffrey Waters;Male;joffrey.waters@the-reach.com;CF;PR
Joffrey Sand;Male;joffrey.sand@the-stormlands.com;SR;KH
Robb Stone;Male;robb.stone@the-crownlands.com;NR;NF
Jamie Hill;Male;jamie.hill@the-iron-islands.com;HT;MT
Myrcella Waters;Female;myrcella.waters@dorne.com;NC;EC
Jon Waters;Male;jon.waters@the-crownlands.com;SJ;IL
Eddard Hill;Male;eddard.hill@the-vale.com;MH;VA
Robb Flowers;Male;robb.flowers@the-reach.com;TM;LU
Robb Storm;Male;robb.storm@the-stormlands.com;BT;EH
Myrcella Rivers;Female;myrcella.rivers@the-vale.com;SE;LI
Cersei Hill;Female;cersei.hill@the-north.com;BS;ID
Cersei Hill;Female;cersei.hill@the-riverlands.com;GN;GI
Rickon Waters;Male;rickon.waters@the-north.com;CN;HK
Tywin Snow;Male;tywin.snow@dorne.com;GL;VG
Tyrion Waters;Male;tyrion.waters@the-north.com;MG;SL
Rickon Stone;Male;rickon.stone@the-reach.com;BT;CD
Robb Stone;Male;robb.stone@dorne.com;IL;MN
Robb Rivers;Male;robb.rivers@the-north.com;CN;IL
Bran Hill;Male;bran.hill@the-westerlands.com;AZ;BZ
Catelyn Rivers;Female;catelyn.rivers@the-stormlands.com;SV;PF
Eddard Hill;Male;eddard.hill@the-vale.com;MU;AR
Sansa Stone;Female;sansa.stone@the-riverlands.com;BM;MR
Tyrion Pyke;Male;tyrion.pyke@the-reach.com;MQ;IN
Tyrion Sand;Male;tyrion.sand@the-riverlands.com;FJ;DM
Tywin Rivers;Male;tywin.rivers@the-reach.com;CU;LR
Jon Snow;Male;jon.snow@the-stormlands.com;SJ;GA
Rickon Storm;Male;rickon.storm@the-vale.com;IT;AU
Jon Stone;Male;jon.stone@the-riverlands.com;VC;CK
Robb Rivers;Male;robb.rivers@the-iron-islands.com;CH;BS
Joffrey Stone;Male;joffrey.stone@the-stormlands.com;ZM;BF
Tommen Waters;Male;tommen.waters@the-north.com;PR;KI
Jamie Flowers;Male;jamie.flowers@the-reach.com;SL;ZA
Eddard Rivers;Male;eddard.rivers@the-north.com;KE;BS
Joffrey Stone;Male;joffrey.stone@the-reach.com;CA;KN
Bran Sand;Male;bran.sand@the-riverlands.com;SO;KE
Arya Stone;Female;arya.stone@the-riverlands.com;MZ;GI
Joffrey Pyke;Male;joffrey.pyke@the-riverlands.com;EG;MR
Sansa Storm;Female;sansa.storm@the-westerlands.com;MQ;ID
Tywin Sand;Male;tywin.sand@the-riverlands.com;GG;BS
Robb Stone;Male;robb.stone@the-reach.com;UY;MP
Arya Stone;Female;arya.stone@the-vale.com;ST;BA
Bran Pyke;Male;bran.pyke@dorne.com;PK;TJ
Eddard Storm;Male;eddard.storm@the-reach.com;OM;MU
Catelyn Pyke;Female;catelyn.pyke@the-north.com;TH;CK
Myrcella Pyke;Female;myrcella.pyke@the-stormlands.com;EH;HR
Rickon Stone;Male;rickon.stone@the-north.com;KE;EE
Bran Storm;Male;bran.storm@the-crownlands.com;GQ;AD
Jon Sand;Male;jon.sand@dorne.com;PK;PG
Rickon Waters;Male;rickon.waters@the-riverlands.com;KN;TO
Joffrey Pyke;Male;joffrey.pyke@the-riverlands.com;MU;ZA
Jon Stone;Male;jon.stone@the-stormlands.com;DJ;PT
Jamie Stone;Male;jamie.stone@the-reach.com;KE;NL
Joffrey Pyke;Male;joffrey.pyke@the-reach.com;BW;NL
Jamie Stone;Male;jamie.stone@the-reach.com;AX;ZA
Jamie Sand;Male;jamie.sand@dorne.com;BE;SM
Arya Stone;Female;arya.stone@dorne.com;AX;TW
Arya Snow;Female;arya.snow@the-vale.com;GT;NU
Jon Pyke;Male;jon.pyke@the-north.com;BF;JM
Rickon Storm;Male;rickon.storm@the-vale.com;IT;ES
Jon Storm;Male;jon.storm@the-iron-islands.com;SZ;MO
Tywin Sand;Male;tywin.sand@the-north.com;LY;PK
Tywin Flowers;Male;tywin.flowers@the-vale.com;DE;GB
Rickon Storm;Male;rickon.storm@the-crownlands.com;PW;PR
Tyrion Hill;Male;tyrion.hill@the-reach.com;AS;TV
Arya Snow;Female;arya.snow@the-reach.com;QA;TM
Tyrion Stone;Male;tyrion.stone@the-stormlands.com;IR;LA
Jon Rivers;Male;jon.rivers@the-riverlands.com;UG;MR
Bran Stone;Male;bran.stone@the-north.com;AI;GU
Arya Storm;Female;arya.storm@the-north.com;AX;TK
Arya Rivers;Female;arya.rivers@the-crownlands.com;VA;QA
Myrcella Flowers;Female;myrcella.flowers@the-reach.com;RE;RE
Robb Waters;Male;robb.waters@the-crownlands.com;GG;EG
Arya Pyke;Female;arya.pyke@the-north.com;GH;MT
Bran Pyke;Male;bran.pyke@the-crownlands.com;SL;PA
Rickon Snow;Male;rickon.snow@the-stormlands.com;MH;EH
Catelyn Stone;Female;catelyn.stone@the-reach.com;GW;CM
Jamie Snow;Male;jamie.snow@the-crownlands.com;BW;KM
Eddard Waters;Male;eddard.waters@the-riverlands.com;FO;MK
Joffrey Flowers;Male;joffrey.flowers@dorne.com;SL;UY
Catelyn Stone;Female;catelyn.stone@the-riverlands.com;DO;HR
Myrcella Storm;Female;myrcella.storm@the-vale.com;SI;IL
Jon Snow;Male;jon.snow@the-westerlands.com;TN;KM
Tywin Pyke;Male;tywin.pyke@the-north.com;PT;UZ
Tyrion Pyke;Male;tyrion.pyke@the-riverlands.com;HN;AD
